Name;Author;Url;PreparationTime;Portions
Quiche de Atún;Gourmet;https://www.gourmet.cl/recetas/quiche-de-atun/;;
Machas a la Parmesana;Gourmet;https://www.gourmet.cl/recetas/machas-a-la-parmesana/;15;6 
Empanadas de Pino;Gourmet;https://www.gourmet.cl/recetas/empanadas-de-pino/;90;12
Empanadas Fritas de Pino;Gourmet;https://www.gourmet.cl/recetas/empanadas-fritas-de-pino/;60;8
Empanadas de Mariscos;Gourmet;https://www.gourmet.cl/recetas/empanada-de-mariscos/;30;4
Crema de Zapallo;Gourmet;https://www.gourmet.cl/recetas/crema-de-zapallo/;25;6
Crema de Zapallo Camote;Gourmet;https://www.gourmet.cl/recetas/crema-de-zapallo-camote/;40;6 
Crema de Tomates;Gourmet;https://www.gourmet.cl/recetas/crema-de-tomates/;45;4
Crema de Champiñones Casera;Gourmet;https://www.gourmet.cl/recetas/crema-de-champinones-casera/;30;8 
Carpaccio;Gourmet;https://www.gourmet.cl/recetas/carpaccio/;;
Camarones en Salsa;Gourmet;https://www.gourmet.cl/recetas/camarones-en-salsa/;30;4 
Arrollados de Primavera;Gourmet;https://www.gourmet.cl/recetas/arrollados-de-primavera/;20;10
Causa Limeña;Gourmet;https://www.gourmet.cl/recetas/causa-limena/;30;8
Carpaccio de Verduras;Gourmet;https://www.gourmet.cl/recetas/carpaccio-de-verduras/;15;3
Steaks de Coliflor con BBQ Merquén;Gourmet;https://www.gourmet.cl/recetas/steaks-de-coliflor-con-bbq-merquen/;45;4 
Tortitas de Papa;Gourmet;https://www.gourmet.cl/recetas/tortitas-de-papa/;80;4 
Lentejas con Arroz;Gourmet;https://www.gourmet.cl/recetas/lentejas-con-arroz/;80;6 
Tortilla de Acelga;Gourmet;https://www.gourmet.cl/recetas/tortilla-de-acelga/;30;5 
Quiche Vegetariano con Masa de Quinoa;Gourmet;https://www.gourmet.cl/recetas/quiche-vegetariano-masa-quinoa/;75;6 
Risotto de Mote con Espárragos y Habas;Gourmet;https://www.gourmet.cl/recetas/risotto-mote-esparragos-habas/;60;2 
Camarones al Pil Pil;Gourmet;https://www.gourmet.cl/recetas/camarones-al-pil-pil/;20;4 
